setting,climate_variable,lag_weeks,n,beta,se,p_value,adjusted_r2,q_value_fdr_bh,significant_fdr_0_05,ci_lower,ci_upper
Singapore,humidity,4,516,0.013742939834208195,0.00827443101981907,0.09673505311140504,0.9577362424033017,0.31658744654641646,False,-0.0024749449646371824,0.029960824633053572
Singapore,humidity,6,514,0.01699183180615013,0.008552448704394328,0.046946810813869574,0.9577401521232217,0.23769235901491387,False,0.00022903234553724866,0.033754631266763015
Singapore,humidity,8,512,0.014116637896208692,0.010336950406669314,0.1720494047032849,0.9576951019740712,0.4346511276714566,False,-0.006143784900863161,0.034377060693280545
Sri Lanka,rainfall,0,465,0.020053955756791475,0.012154296791515142,0.09895360448503561,0.8784710666250446,0.31665153435211396,False,-0.0037684659545782033,0.04387637746816116
Sri Lanka,rainfall,1,465,0.012539661741299724,0.01384322281962714,0.36502372807008354,0.8781635101979482,0.6257549624058575,False,-0.014593054985169468,0.039672378467768915
Sri Lanka,rainfall,2,463,0.03943682819425859,0.016080525198935842,0.01418835610823522,0.8794885400417577,0.1362082186390581,False,0.007918998804344338,0.07095465758417284
Sri Lanka,rainfall,4,461,0.02940048348854224,0.014864320408033238,0.04793737657549883,0.8788201664924741,0.23769235901491387,False,0.00026641548879709556,0.05853455148828739
Sri Lanka,rainfall,6,459,0.05471441919807468,0.012639403670415049,1.4987185364021755e-05,0.8818978357952415,0.0012627600502512137,True,0.029941188004061186,0.07948765039208817
Sri Lanka,rainfall,8,457,0.03216379411375403,0.013258871028375205,0.015273337156631296,0.8798037210778717,0.1374600344096817,False,0.006176406898138628,0.05815118132936943
Sri Lanka,temperature,0,465,-0.02916676650305894,0.022043654261707363,0.18578994385057734,0.8783679166406744,0.44587357069577566,False,-0.07237232885600536,0.014038795849887493
Sri Lanka,temperature,1,465,-0.03338599355630345,0.02154336229245771,0.12121080718804546,0.8784914511930806,0.35621135173629687,False,-0.07561098364952057,0.008838996536913661
Sri Lanka,temperature,2,463,-0.05066585266031198,0.022535402582071963,0.024558460696884287,0.878719566232414,0.16942610731395863,False,-0.09483524172117302,-0.006496463599450934
Sri Lanka,temperature,4,461,-0.03268126100367441,0.023376694227137108,0.16210481420609468,0.8782147811438611,0.416840950815672,False,-0.07849958168886315,0.013137059681514317
Sri Lanka,temperature,6,459,0.00977621264973938,0.020649476817237538,0.6359019112414814,0.8781638814878615,0.8332051835686068,False,-0.03069676191204619,0.05024918721152495
Sri Lanka,temperature,8,457,0.021292886051129334,0.023414258786058604,0.3631399432888127,0.8787405361764161,0.6257549624058575,False,-0.02459906116954553,0.06718483327180419
Sri Lanka,humidity,0,465,0.03055379152967619,0.014236509782081344,0.03186041904756932,0.8789587960002698,0.18351601371399928,False,0.0026502323567967542,0.05845735070255562
Sri Lanka,humidity,1,465,0.03031332485362953,0.01554487768039972,0.051169882843488404,0.8789574039911476,0.23769235901491387,False,-0.0001546353999539174,0.06078128510721298
Sri Lanka,humidity,2,463,0.05483987762292031,0.013253630895058651,3.507666806253371e-05,0.8807612335676044,0.0012627600502512137,True,0.02886276106860535,0.08081699417723526
